run_id,harness,field_family,n,exact_label_accuracy,monthly_rate_accuracy_tolerance_15pct,pragmatic_macro_f1,pragmatic_weighted_f1,purist_macro_f1,purist_weighted_f1,adjudication_status
deterministic_n25_2026_05_03,deterministic_baseline,seizure_frequency,25,0.2,0.28,0.20248270248270248,0.2164916564916565,0.19576719576719576,0.1940740740740741,not_adjudicated
deterministic_n25_2026_05_03,deterministic_baseline,current_medications,25,,,,,,,not_adjudicated
deterministic_n25_2026_05_03,deterministic_baseline,investigations,25,,,,,,,not_adjudicated
deterministic_n25_2026_05_03,deterministic_baseline,seizure_classification,25,,,,,,,not_adjudicated
deterministic_n25_2026_05_03,deterministic_baseline,epilepsy_classification,25,,,,,,,not_adjudicated
exect_lite_n25_2026_05_03,exect_lite_cleanroom_baseline,seizure_frequency,25,0.2,0.32,0.24702380952380953,0.28904761904761905,0.23412698412698413,0.2744444444444445,not_adjudicated
exect_lite_n25_2026_05_03,exect_lite_cleanroom_baseline,current_medications,25,,,,,,,not_adjudicated
exect_lite_n25_2026_05_03,exect_lite_cleanroom_baseline,investigations,25,,,,,,,not_adjudicated
exect_lite_n25_2026_05_03,exect_lite_cleanroom_baseline,seizure_classification,25,,,,,,,not_adjudicated
exect_lite_n25_2026_05_03,exect_lite_cleanroom_baseline,epilepsy_classification,25,,,,,,,not_adjudicated
exect_v2_external_pending_n25_2026_05_03,exect_v2_external_baseline,seizure_frequency,25,0.12,0.2,0.08333333333333334,0.06666666666666668,0.04761904761904762,0.06666666666666668,not_adjudicated
exect_v2_external_pending_n25_2026_05_03,exect_v2_external_baseline,current_medications,25,,,,,,,not_adjudicated
exect_v2_external_pending_n25_2026_05_03,exect_v2_external_baseline,investigations,25,,,,,,,not_adjudicated
exect_v2_external_pending_n25_2026_05_03,exect_v2_external_baseline,seizure_classification,25,,,,,,,not_adjudicated
exect_v2_external_pending_n25_2026_05_03,exect_v2_external_baseline,epilepsy_classification,25,,,,,,,not_adjudicated
matrix_gpt-5_4-mini-2026-03-17_direct_full_contract,direct_full_contract,seizure_frequency,25,0.44,,,,,,auto_adjudicated
matrix_gpt-5_4-mini-2026-03-17_direct_full_contract,direct_full_contract,current_medications,25,0.8413,,,,,,auto_adjudicated
matrix_gpt-5_4-mini-2026-03-17_direct_full_contract,direct_full_contract,investigations,25,0.8625,,,,,,auto_adjudicated
matrix_gpt-5_4-mini-2026-03-17_direct_full_contract,direct_full_contract,seizure_classification,25,0.9179,,,,,,auto_adjudicated
matrix_gpt-5_4-mini-2026-03-17_direct_full_contract,direct_full_contract,epilepsy_classification,25,0.88,,,,,,auto_adjudicated
matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_modular,clines_epilepsy_modular,seizure_frequency,25,0.36,,,,,,auto_adjudicated
matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_modular,clines_epilepsy_modular,current_medications,25,0.9677,,,,,,auto_adjudicated
matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_modular,clines_epilepsy_modular,investigations,25,0.9844,,,,,,auto_adjudicated
matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_modular,clines_epilepsy_modular,seizure_classification,25,0.9748,,,,,,auto_adjudicated
matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_modular,clines_epilepsy_modular,epilepsy_classification,25,0.6071,,,,,,auto_adjudicated
matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_verified,clines_epilepsy_verified,seizure_frequency,25,0.4,,,,,,auto_adjudicated
matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_verified,clines_epilepsy_verified,current_medications,25,0.9672,,,,,,auto_adjudicated
matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_verified,clines_epilepsy_verified,investigations,25,0.9661,,,,,,auto_adjudicated
matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_verified,clines_epilepsy_verified,seizure_classification,25,0.9813,,,,,,auto_adjudicated
matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_verified,clines_epilepsy_verified,epilepsy_classification,25,0.6429,,,,,,auto_adjudicated
matrix_gpt-5_5-2026-04-23_retrieval_field_extractors,retrieval_field_extractors,seizure_frequency,25,0.68,,,,,,auto_adjudicated
matrix_gpt-5_5-2026-04-23_retrieval_field_extractors,retrieval_field_extractors,current_medications,25,1.0,,,,,,auto_adjudicated
matrix_gpt-5_5-2026-04-23_retrieval_field_extractors,retrieval_field_extractors,investigations,25,0.9839,,,,,,auto_adjudicated
matrix_gpt-5_5-2026-04-23_retrieval_field_extractors,retrieval_field_extractors,seizure_classification,25,0.9865,,,,,,auto_adjudicated
matrix_gpt-5_5-2026-04-23_retrieval_field_extractors,retrieval_field_extractors,epilepsy_classification,25,0.6667,,,,,,auto_adjudicated
matrix_gpt-5_5-2026-04-23_clines_epilepsy_modular,clines_epilepsy_modular,seizure_frequency,25,0.4,,,,,,auto_adjudicated
matrix_gpt-5_5-2026-04-23_clines_epilepsy_modular,clines_epilepsy_modular,current_medications,25,0.9667,,,,,,auto_adjudicated
matrix_gpt-5_5-2026-04-23_clines_epilepsy_modular,clines_epilepsy_modular,investigations,25,0.9385,,,,,,auto_adjudicated
matrix_gpt-5_5-2026-04-23_clines_epilepsy_modular,clines_epilepsy_modular,seizure_classification,25,0.9377,,,,,,auto_adjudicated
matrix_gpt-5_5-2026-04-23_clines_epilepsy_modular,clines_epilepsy_modular,epilepsy_classification,25,0.8,,,,,,auto_adjudicated
matrix_gpt-5_5-2026-04-23_clines_epilepsy_verified,clines_epilepsy_verified,seizure_frequency,25,0.4583,,,,,,auto_adjudicated
matrix_gpt-5_5-2026-04-23_clines_epilepsy_verified,clines_epilepsy_verified,current_medications,25,1.0,,,,,,auto_adjudicated
matrix_gpt-5_5-2026-04-23_clines_epilepsy_verified,clines_epilepsy_verified,investigations,25,0.9836,,,,,,auto_adjudicated
matrix_gpt-5_5-2026-04-23_clines_epilepsy_verified,clines_epilepsy_verified,seizure_classification,25,0.9895,,,,,,auto_adjudicated
matrix_gpt-5_5-2026-04-23_clines_epilepsy_verified,clines_epilepsy_verified,epilepsy_classification,25,0.8421,,,,,,auto_adjudicated
