run_id,harness,architecture_family,manifest_id,manifest_hash,dataset_n,llm_calls_per_row,modules_invoked,workflow_units,provider_calls,event_count,parse_repair_attempts,verifier_passes,escalation_decisions,intermediate_artifacts,raw_artifact_paths,complexity_status
deterministic_n25_2026_05_03,deterministic_baseline,clinical_nlp_baseline,deterministic_baseline.v1,c921ee9ba15f631ce118852e89fab80a5df625aaf4e52a3ecdc96b069353fc70,25,0,,,0,97,0,0,0,1,0,harness_native
exect_lite_n25_2026_05_03,exect_lite_cleanroom_baseline,clinical_nlp_baseline,exect_lite_cleanroom_baseline.v1,044a4d20829e2508bc94e5cb79750d6eac9ebe13ed2221b1ce160d93f281c8f8,25,0,,,0,119,0,0,0,1,0,harness_native
exect_v2_external_pending_n25_2026_05_03,exect_v2_external_baseline,clinical_nlp_baseline,exect_v2_external_baseline.v1,7db43042fca8739dc56cacc72755481703cedb5949dbb5fd303abc9b62898a26,25,0,,,0,0,0,0,0,1,0,partial
matrix_gpt-5_4-mini-2026-03-17_direct_full_contract,direct_full_contract,direct_llm,direct_full_contract.v1,d37b812b43bd43a1e7a308c028af98dbf19f1b164339f9b7896c86e7f8ee7f97,25,1,,,25,125,0,0,0,3,0,harness_native
matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_modular,clines_epilepsy_modular,clines_inspired_modular,clines_epilepsy_modular.v1,75295540248c00fe03451e9aa6270547d9916579897db6cad5925a4274cf2027,25,5,6,8,125,800,0,125,0,3,0,harness_native
matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_verified,clines_epilepsy_verified,clines_inspired_modular,clines_epilepsy_verified.v1,44bb1ee6204b8eb7881f93d7938900cb3038491ca2fc3ee9881b372b2afee5ed,25,6,7,8,150,890,0,150,0,4,0,harness_native
matrix_gpt-5_5-2026-04-23_retrieval_field_extractors,retrieval_field_extractors,retrieval_field_pipeline,retrieval_field_extractors.v1,db8c90fe3a8d76a3d6dee3433c288a5e5b570d0c221fe346307c89f162874f09,25,5,3,6,125,692,0,0,0,3,0,harness_native
matrix_gpt-5_5-2026-04-23_clines_epilepsy_modular,clines_epilepsy_modular,clines_inspired_modular,clines_epilepsy_modular.v1,75295540248c00fe03451e9aa6270547d9916579897db6cad5925a4274cf2027,25,5,6,8,125,800,0,125,0,3,0,harness_native
matrix_gpt-5_5-2026-04-23_clines_epilepsy_verified,clines_epilepsy_verified,clines_inspired_modular,clines_epilepsy_verified.v1,44bb1ee6204b8eb7881f93d7938900cb3038491ca2fc3ee9881b372b2afee5ed,25,6,7,8,150,897,0,150,0,4,0,harness_native
