system,run_id,sf,med,inv,sc,ec,calls_per_letter,tokens_per_letter,cost_usd_n25,cost_usd_per_letter,latency_s_n25,latency_s_per_letter
GPT-5.5 retrieval,matrix_gpt-5_5-2026-04-23_retrieval_field_extractors,68.0,100.0,98.4,98.7,66.7,5,7537,1.53332,0.061333,958.895,38.356
GPT-5.5 verified,matrix_gpt-5_5-2026-04-23_clines_epilepsy_verified,45.8,100.0,98.4,99.0,84.2,6,10610,2.5059,0.100236,1852.758,74.11
GPT-5.5 modular,matrix_gpt-5_5-2026-04-23_clines_epilepsy_modular,40.0,96.7,93.8,93.8,80.0,5,5401,1.25776,0.05031,882.583,35.303
GPT-5.4-mini verified,matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_verified,40.0,96.7,96.6,98.1,64.3,6,7116,0.420411,0.016816,321.484,12.859
GPT-5.4-mini modular,matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_modular,36.0,96.8,98.4,97.5,60.7,5,4115,0.271821,0.010873,242.908,9.716
GPT-5.4-mini direct,matrix_gpt-5_4-mini-2026-03-17_direct_full_contract,44.0,84.1,86.2,91.8,88.0,1,2246,0.224795,0.008992,176.28,7.051
Baseline deterministic,deterministic_n25_2026_05_03,20.0,,,,,0,0,0.0,0.0,0.0,0.0
Baseline ExECT-lite,exect_lite_n25_2026_05_03,20.0,,,,,0,0,0.0,0.0,0.0,0.0
Baseline ExECT-v2 external,exect_v2_external_pending_n25_2026_05_03,12.0,,,,,0,0,0.0,0.0,0.0,0.0
